scenario,poller_interval_ms,scheduler_interval_ms,requested_session_count,iteration,trigger_event_id,session_sequence,session_id,reevaluation_duration_ms,pip_fetch_ms,pdp_evaluate_ms,revoke_update_ms,post_processing_ms,revoke_publish_ms,final_status
core_breakdown,1000,500,1,1,91,1,91,6.054,3.791,0.111,0.392,5.077,0.033,REVOKED
core_breakdown,1000,500,1,2,92,1,92,6.994,3.748,0.28,0.457,5.002,0.046,REVOKED
core_breakdown,1000,500,1,3,93,1,93,4.98,2.938,0.156,0.421,5.19,0.041,REVOKED
core_breakdown,1000,500,1,4,94,1,94,7.217,3.573,0.339,0.663,6.798,0.096,REVOKED
core_breakdown,1000,500,1,5,95,1,95,5.351,3.52,0.124,0.411,5.897,0.04,REVOKED
core_breakdown,1000,500,1,6,96,1,96,6.723,3.902,0.425,0.51,6.695,0.096,REVOKED
core_breakdown,1000,500,1,7,97,1,97,6.216,3.899,0.293,0.465,7.12,0.094,REVOKED
core_breakdown,1000,500,1,8,98,1,98,7.508,5.102,0.35,0.579,7.489,0.114,REVOKED
core_breakdown,1000,500,1,9,99,1,99,6.416,4.017,0.281,0.477,6.434,0.12,REVOKED
core_breakdown,1000,500,1,10,100,1,100,6.693,3.542,0.287,0.506,6.576,0.094,REVOKED
core_breakdown,1000,500,1,11,101,1,101,6.624,4.179,0.306,0.486,6.529,0.117,REVOKED
core_breakdown,1000,500,1,12,102,1,102,5.634,3.678,0.095,0.367,5.212,0.035,REVOKED
core_breakdown,1000,500,1,13,103,1,103,5.384,3.278,0.294,0.441,5.1,0.092,REVOKED
core_breakdown,1000,500,1,14,104,1,104,6.747,3.776,0.295,0.473,6.129,0.087,REVOKED
core_breakdown,1000,500,1,15,105,1,105,4.841,3.045,0.262,0.508,5.553,0.097,REVOKED
core_breakdown,1000,500,1,16,106,1,106,6.913,3.715,0.285,0.426,6.717,0.11,REVOKED
core_breakdown,1000,500,1,17,107,1,107,5.666,3.468,0.28,0.429,7.07,0.129,REVOKED
core_breakdown,1000,500,1,18,108,1,108,6.265,3.926,0.18,0.465,6.403,0.052,REVOKED
core_breakdown,1000,500,1,19,109,1,109,7.003,4.461,0.166,0.553,8.259,0.081,REVOKED
core_breakdown,1000,500,1,20,110,1,110,6.426,4.008,0.284,0.52,6.51,0.102,REVOKED
core_breakdown,1000,500,1,21,111,1,111,6.226,3.808,0.322,0.503,6.409,0.1,REVOKED
core_breakdown,1000,500,1,22,112,1,112,5.596,3.578,0.17,0.414,5.518,0.052,REVOKED
core_breakdown,1000,500,1,23,113,1,113,6.324,3.225,0.285,0.543,7.987,0.093,REVOKED
core_breakdown,1000,500,1,24,114,1,114,7.204,4.315,0.3,0.499,7.573,0.102,REVOKED
core_breakdown,1000,500,1,25,115,1,115,3.801,2.444,0.132,0.218,3.809,0.084,REVOKED
core_breakdown,1000,500,1,26,116,1,116,4.762,3.043,0.114,0.417,5.139,0.054,REVOKED
core_breakdown,1000,500,1,27,117,1,117,6.514,3.894,0.247,0.496,6.413,0.087,REVOKED
core_breakdown,1000,500,1,28,118,1,118,4.949,3.119,0.116,0.453,5.622,0.057,REVOKED
core_breakdown,1000,500,1,29,119,1,119,5.921,3.468,0.142,0.456,5.985,0.039,REVOKED
core_breakdown,1000,500,1,30,120,1,120,6.824,3.615,0.289,0.529,6.646,0.071,REVOKED
core_breakdown,1000,500,1,31,121,1,121,4.693,2.939,0.094,0.382,5.618,0.026,REVOKED
core_breakdown,1000,500,1,32,122,1,122,7.092,3.867,0.253,0.505,6.661,0.071,REVOKED
core_breakdown,1000,500,1,33,123,1,123,6.429,4.015,0.287,0.487,5.981,0.072,REVOKED
core_breakdown,1000,500,1,34,124,1,124,6.672,4.052,0.307,0.522,6.137,0.087,REVOKED
core_breakdown,1000,500,1,35,125,1,125,7.266,4.093,0.293,0.509,6.32,0.086,REVOKED
core_breakdown,1000,500,1,36,126,1,126,6.844,4.198,0.282,0.506,6.661,0.078,REVOKED
core_breakdown,1000,500,1,37,127,1,127,6.717,4.188,0.336,0.536,6.058,0.096,REVOKED
core_breakdown,1000,500,1,38,128,1,128,5.568,3.645,0.15,0.391,6.256,0.031,REVOKED
core_breakdown,1000,500,1,39,129,1,129,5.324,3.28,0.108,0.375,5.594,0.086,REVOKED
core_breakdown,1000,500,1,40,130,1,130,6.309,4.099,0.105,0.45,5.974,0.044,REVOKED
core_breakdown,1000,500,1,41,131,1,131,5.013,3.188,0.109,0.399,5.43,0.027,REVOKED
core_breakdown,1000,500,1,42,132,1,132,6.687,3.6,0.28,0.52,6.71,0.069,REVOKED
core_breakdown,1000,500,1,43,133,1,133,5.269,2.948,0.102,0.41,6.219,0.041,REVOKED
core_breakdown,1000,500,1,44,134,1,134,5.235,3.358,0.109,0.497,5.623,0.028,REVOKED
core_breakdown,1000,500,1,45,135,1,135,7.269,4.06,0.294,0.501,7.101,0.062,REVOKED
core_breakdown,1000,500,1,46,136,1,136,7.013,3.98,0.218,0.508,7.159,0.07,REVOKED
core_breakdown,1000,500,1,47,137,1,137,5.451,3.235,0.109,0.448,6.169,0.044,REVOKED
core_breakdown,1000,500,1,48,138,1,138,5.798,3.698,0.108,0.35,5.159,0.028,REVOKED
core_breakdown,1000,500,1,49,139,1,139,5.945,3.954,0.104,0.336,5.402,0.044,REVOKED
core_breakdown,1000,500,1,50,140,1,140,4.187,2.56,0.155,0.257,5.435,0.042,REVOKED
