scenario,poller_interval_ms,scheduler_interval_ms,requested_session_count,iteration,trigger_event_id,affected_session_count,poller_wait_ms,event_processing_latency_ms,event_end_to_end_latency_ms,dependency_lookup_ms,pip_fetch_ms,pdp_evaluate_ms,revoke_update_ms,post_processing_ms,revoke_publish_ms,total_core_ms,measured_component_sum_ms,unattributed_core_ms,reevaluation_total_ms,success,error
core_breakdown,1000,500,100,1,31,100,466.085,771.567,1237.652,2.704,201.71,3.01,20.005,331.128,0.811,771.101,559.367,211.733,295.136,True,
core_breakdown,1000,500,100,2,32,100,741.536,814.245,1555.781,2.377,213.084,3.108,21.551,346.694,0.772,813.569,587.586,225.983,313.084,True,
core_breakdown,1000,500,100,3,33,100,697.183,750.006,1447.189,2.22,195.468,2.804,19.589,320.893,0.763,749.173,541.737,207.436,286.16,True,
core_breakdown,1000,500,100,4,34,100,893.652,789.788,1683.44,1.152,206.334,2.614,20.838,339.241,0.712,789.32,570.891,218.429,301.634,True,
core_breakdown,1000,500,100,5,35,100,857.793,812.317,1670.11,1.846,213.828,3.071,21.079,346.374,0.761,811.589,586.959,224.63,312.657,True,
core_breakdown,1000,500,100,6,36,100,867.925,758.818,1626.743,1.375,197.033,3.109,19.978,327.625,0.784,758.374,549.904,208.47,289.429,True,
core_breakdown,1000,500,100,7,37,100,594.702,738.922,1333.624,2.053,190.501,3.056,19.08,319.055,0.76,738.337,534.504,203.832,280.373,True,
core_breakdown,1000,500,100,8,38,100,460.136,723.399,1183.535,1.417,186.997,2.925,19.044,311.628,0.76,722.951,522.772,200.179,274.992,True,
core_breakdown,1000,500,100,9,39,100,499.985,798.021,1298.006,1.498,209.27,2.979,20.529,341.579,0.764,797.538,576.619,220.919,307.71,True,
core_breakdown,1000,500,100,10,40,100,846.589,804.502,1651.091,1.282,211.334,2.994,20.747,346.244,0.77,804.003,583.371,220.632,309.945,True,
core_breakdown,1000,500,100,11,41,100,400.648,770.747,1171.395,2.221,201.393,3.042,19.982,329.824,0.769,770.106,557.231,212.875,295.734,True,
core_breakdown,1000,500,100,12,42,100,761.848,804.649,1566.497,2.598,210.993,2.991,21.098,344.39,0.789,804.015,582.859,221.156,309.222,True,
core_breakdown,1000,500,100,13,43,100,506.073,799.018,1305.091,4.078,206.01,3.052,20.54,337.882,0.775,798.294,572.337,225.957,303.185,True,
core_breakdown,1000,500,100,14,44,100,237.543,740.591,978.134,3.999,191.905,2.949,19.193,317.407,0.775,739.941,536.229,203.712,281.825,True,
core_breakdown,1000,500,100,15,45,100,1012.105,796.629,1808.734,3.302,208.467,3.853,20.683,341.004,0.783,796.098,578.091,218.007,306.245,True,
core_breakdown,1000,500,100,16,46,100,639.559,795.132,1434.691,2.29,207.153,2.438,20.546,344.36,0.661,794.763,577.448,217.315,303.138,True,
core_breakdown,1000,500,100,17,47,100,399.714,760.792,1160.506,3.316,197.695,2.806,19.63,324.773,0.738,760.265,548.959,211.306,289.924,True,
core_breakdown,1000,500,100,18,48,100,856.664,749.0,1605.664,3.362,193.249,2.906,19.576,321.466,0.741,748.495,541.3,207.195,283.763,True,
core_breakdown,1000,500,100,19,49,100,628.277,797.307,1425.584,3.368,209.962,2.962,20.526,340.555,0.754,796.817,578.127,218.689,306.577,True,
core_breakdown,1000,500,100,20,50,100,615.688,801.876,1417.564,2.502,210.628,3.141,20.859,343.784,0.813,801.408,581.728,219.68,308.938,True,
core_breakdown,1000,500,100,21,51,100,962.846,815.968,1778.814,3.62,213.623,3.085,21.046,350.417,0.797,815.397,592.588,222.809,313.398,True,
core_breakdown,1000,500,100,22,52,100,74.061,791.519,865.58,5.088,206.068,3.031,20.557,338.514,0.748,790.992,574.006,216.986,302.276,True,
core_breakdown,1000,500,100,23,53,100,909.256,789.853,1699.109,3.078,205.413,2.98,20.452,338.913,0.779,789.371,571.615,217.757,301.855,True,
core_breakdown,1000,500,100,24,54,100,694.973,759.159,1454.132,3.222,196.079,2.957,19.612,327.684,0.723,758.685,550.277,208.408,287.519,True,
core_breakdown,1000,500,100,25,55,100,426.108,733.801,1159.909,3.662,188.454,3.143,19.137,315.679,0.785,733.354,530.861,202.493,277.794,True,
core_breakdown,1000,500,100,26,56,100,448.379,801.387,1249.766,4.494,210.304,2.918,20.61,341.437,0.727,800.774,580.489,220.285,307.567,True,
core_breakdown,1000,500,100,27,57,100,756.71,813.488,1570.198,5.302,212.316,2.984,20.928,345.961,0.747,812.888,588.237,224.652,311.365,True,
core_breakdown,1000,500,100,28,58,100,333.482,802.415,1135.897,3.799,210.447,2.924,20.675,342.369,0.756,801.969,580.97,220.999,308.513,True,
core_breakdown,1000,500,100,29,59,100,1001.706,819.087,1820.793,5.003,214.551,3.007,21.291,349.502,0.756,818.442,594.11,224.332,313.848,True,
core_breakdown,1000,500,100,30,60,100,496.291,815.053,1311.344,3.89,212.205,2.962,21.071,348.406,0.816,814.569,589.35,225.219,310.999,True,
core_breakdown,1000,500,100,31,61,100,619.059,796.88,1415.939,5.648,208.91,2.901,20.394,340.244,0.723,796.276,578.82,217.456,305.682,True,
core_breakdown,1000,500,100,32,62,100,531.627,810.84,1342.467,5.959,211.325,3.227,20.916,344.028,0.788,810.18,586.243,223.937,310.302,True,
core_breakdown,1000,500,100,33,63,100,943.144,798.879,1742.023,1.637,208.964,2.927,20.911,344.457,0.737,798.295,579.632,218.663,306.199,True,
core_breakdown,1000,500,100,34,64,100,399.626,776.719,1176.345,2.304,202.429,3.001,20.32,331.302,0.774,775.983,560.13,215.853,297.161,True,
core_breakdown,1000,500,100,35,65,100,677.908,806.39,1484.298,1.62,212.779,2.584,20.908,346.048,0.671,805.925,584.61,221.315,310.501,True,
core_breakdown,1000,500,100,36,66,100,558.813,757.994,1316.807,1.444,196.597,3.07,19.783,324.754,0.765,757.464,546.413,211.051,289.553,True,
core_breakdown,1000,500,100,37,67,100,365.982,816.339,1182.321,2.16,215.171,3.082,21.394,347.12,0.818,815.682,589.746,225.935,315.185,True,
core_breakdown,1000,500,100,38,68,100,87.63,805.609,893.239,2.094,212.756,2.961,20.87,344.24,0.755,804.95,583.676,221.274,311.161,True,
core_breakdown,1000,500,100,39,69,100,1013.23,778.412,1791.642,1.226,204.364,2.852,20.062,335.498,0.706,777.99,564.709,213.281,298.791,True,
core_breakdown,1000,500,100,40,70,100,221.598,797.242,1018.84,1.336,212.145,3.094,20.513,339.007,0.773,796.766,576.867,219.899,309.454,True,
core_breakdown,1000,500,100,41,71,100,925.628,791.996,1717.624,1.193,207.77,3.045,20.634,337.758,0.777,791.504,571.176,220.329,303.991,True,
core_breakdown,1000,500,100,42,72,100,118.073,810.741,928.814,2.085,213.379,3.013,21.109,345.688,0.751,810.132,586.026,224.106,312.754,True,
core_breakdown,1000,500,100,43,73,100,611.148,800.663,1411.811,2.288,208.19,3.037,20.979,343.566,0.739,799.993,578.8,221.193,306.274,True,
core_breakdown,1000,500,100,44,74,100,748.065,749.825,1497.89,2.405,192.433,3.207,19.953,322.47,0.79,749.128,541.257,207.87,283.925,True,
core_breakdown,1000,500,100,45,75,100,450.225,806.93,1257.155,2.328,211.726,2.989,20.986,346.784,0.75,806.26,585.563,220.698,309.908,True,
core_breakdown,1000,500,100,46,76,100,215.5,787.791,1003.291,1.667,205.538,2.404,20.3,342.015,0.631,787.338,572.556,214.782,300.489,True,
core_breakdown,1000,500,100,47,77,100,311.059,758.936,1069.995,2.216,197.192,2.908,19.927,324.908,0.725,758.301,547.877,210.423,289.831,True,
core_breakdown,1000,500,100,48,78,100,633.285,767.433,1400.718,2.112,199.86,2.961,20.063,327.947,0.734,766.789,553.677,213.112,293.39,True,
core_breakdown,1000,500,100,49,79,100,674.709,813.162,1487.871,1.369,214.568,3.074,20.993,348.381,0.754,812.679,589.139,223.541,314.026,True,
core_breakdown,1000,500,100,50,80,100,125.472,780.091,905.563,1.261,207.765,2.885,20.167,333.754,0.749,779.603,566.581,213.022,301.997,True,
