scenario,poller_interval_ms,scheduler_interval_ms,total_active_sessions,requested_affected_session_count,iteration,trigger_event_id,session_sequence,session_id,reevaluation_duration_ms,pip_fetch_ms,pdp_evaluate_ms,revoke_update_ms,post_processing_ms,revoke_publish_ms,final_status
scalability,1000,500,100,10,1,91,1,991,5.414,3.169,0.08,0.405,5.148,0.016,REVOKED
scalability,1000,500,100,10,1,91,2,992,3.485,2.404,0.039,0.256,3.432,0.009,REVOKED
scalability,1000,500,100,10,1,91,3,993,3.281,2.233,0.034,0.249,3.395,0.007,REVOKED
scalability,1000,500,100,10,1,91,4,994,3.113,2.12,0.027,0.23,3.176,0.008,REVOKED
scalability,1000,500,100,10,1,91,5,995,2.982,2.024,0.022,0.207,3.223,0.007,REVOKED
scalability,1000,500,100,10,1,91,6,996,3.15,2.217,0.022,0.206,3.224,0.007,REVOKED
scalability,1000,500,100,10,1,91,7,997,2.896,1.95,0.025,0.206,3.181,0.006,REVOKED
scalability,1000,500,100,10,1,91,8,998,2.888,1.983,0.022,0.193,2.865,0.008,REVOKED
scalability,1000,500,100,10,1,91,9,999,2.629,1.803,0.022,0.186,2.89,0.006,REVOKED
scalability,1000,500,100,10,1,91,10,1000,2.71,1.858,0.022,0.201,2.827,0.006,REVOKED
scalability,1000,500,100,10,2,92,1,1001,6.983,4.348,0.345,0.426,6.169,0.061,REVOKED
scalability,1000,500,100,10,2,92,2,1002,5.01,3.227,0.125,0.346,4.97,0.029,REVOKED
scalability,1000,500,100,10,2,92,3,1003,4.49,3.016,0.063,0.263,4.212,0.015,REVOKED
scalability,1000,500,100,10,2,92,4,1004,3.623,2.433,0.05,0.225,3.599,0.01,REVOKED
scalability,1000,500,100,10,2,92,5,1005,3.281,2.242,0.037,0.2,3.289,0.007,REVOKED
scalability,1000,500,100,10,2,92,6,1006,3.066,2.049,0.081,0.234,3.178,0.016,REVOKED
scalability,1000,500,100,10,2,92,7,1007,2.721,1.868,0.039,0.184,3.093,0.01,REVOKED
scalability,1000,500,100,10,2,92,8,1008,2.663,1.821,0.028,0.175,2.911,0.008,REVOKED
