scenario,poller_interval_ms,scheduler_interval_ms,total_active_sessions,background_active_sessions,requested_affected_session_count,iteration,trigger_event_id,measured_affected_session_count,active_sessions_before_event,active_sessions_after_event,poller_wait_ms,event_processing_latency_ms,event_end_to_end_latency_ms,dependency_lookup_ms,pip_fetch_ms,pdp_evaluate_ms,revoke_update_ms,post_processing_ms,revoke_publish_ms,total_core_ms,measured_component_sum_ms,unattributed_core_ms,reevaluation_total_ms,last_revoke_latency_ms,success,error
scalability,1000,500,1000,990,10,1,31,10,1000,990,225.376,98.626,324.002,0.561,26.08,0.779,2.567,39.859,0.226,98.178,70.071,28.107,39.011,320.415,True,
scalability,1000,500,1000,990,10,2,32,10,1000,990,556.369,101.856,658.225,0.605,27.006,0.805,2.629,41.448,0.209,101.44,72.702,28.739,40.554,654.505,True,
scalability,1000,500,1000,990,10,3,33,10,1000,990,576.983,105.337,682.32,0.512,26.709,0.866,2.794,43.676,0.286,104.863,74.845,30.018,40.23,678.214,True,
scalability,1000,500,1000,990,10,4,34,10,1000,990,193.701,107.157,300.858,0.496,28.006,0.705,2.72,44.738,0.23,106.665,76.894,29.771,41.893,296.238,True,
scalability,1000,500,1000,990,10,5,35,10,1000,990,854.831,115.466,970.297,0.865,30.064,0.81,3.141,47.034,0.234,114.785,82.148,32.637,45.346,964.323,True,
scalability,1000,500,1000,990,10,6,36,10,1000,990,941.384,100.506,1041.89,0.637,26.388,0.54,2.727,40.762,0.142,100.02,71.197,28.824,39.696,1037.769,True,
scalability,1000,500,1000,990,10,7,37,10,1000,990,565.503,113.401,678.904,0.57,27.602,0.768,2.94,44.837,0.291,112.914,77.009,35.905,41.35,674.113,True,
scalability,1000,500,1000,990,10,8,38,10,1000,990,543.149,104.446,647.595,0.861,27.434,0.647,2.674,42.065,0.168,103.876,73.849,30.027,41.154,643.021,True,
scalability,1000,500,1000,990,10,9,39,10,1000,990,386.315,104.322,490.637,0.546,27.028,0.796,2.742,43.465,0.246,103.89,74.823,29.067,40.378,485.775,True,
scalability,1000,500,1000,990,10,10,40,10,1000,990,573.065,104.666,677.731,0.885,27.366,0.805,2.636,42.31,0.154,104.068,74.157,29.911,41.816,673.87,True,
scalability,1000,500,1000,990,10,11,41,10,1000,990,290.126,96.354,386.48,0.509,25.005,0.838,2.683,39.09,0.169,95.883,68.294,27.589,37.543,382.72,True,
scalability,1000,500,1000,990,10,12,42,10,1000,990,289.858,94.588,384.446,0.727,23.173,0.725,2.891,38.509,0.139,93.829,66.163,27.665,35.046,379.888,True,
scalability,1000,500,1000,990,10,13,43,10,1000,990,790.417,98.756,889.173,0.62,24.845,0.804,2.696,41.262,0.149,98.296,70.377,27.919,37.814,885.348,True,
scalability,1000,500,1000,990,10,14,44,10,1000,990,764.159,91.699,855.858,0.814,23.65,0.463,2.509,36.924,0.095,91.058,64.456,26.602,35.779,851.451,True,
scalability,1000,500,1000,990,10,15,45,10,1000,990,831.634,87.066,918.7,0.359,22.581,0.539,2.385,36.435,0.116,86.734,62.416,24.318,33.367,915.085,True,
scalability,1000,500,1000,990,10,16,46,10,1000,990,322.761,90.007,412.768,0.679,23.698,0.523,2.414,36.028,0.104,89.465,63.447,26.018,35.673,409.186,True,
scalability,1000,500,1000,990,10,17,47,10,1000,990,60.922,96.997,157.919,1.268,24.643,0.585,2.629,38.786,0.141,96.444,68.053,28.392,37.907,154.12,True,
scalability,1000,500,1000,990,10,18,48,10,1000,990,596.475,85.272,681.747,0.36,22.567,0.472,2.233,34.992,0.094,84.944,60.718,24.226,33.443,678.099,True,
scalability,1000,500,1000,990,10,19,49,10,1000,990,618.469,88.136,706.605,0.358,23.403,0.575,2.382,36.081,0.125,87.812,62.924,24.888,34.782,702.981,True,
scalability,1000,500,1000,990,10,20,50,10,1000,990,36.353,79.45,115.803,0.342,20.953,0.499,2.158,32.679,0.105,79.113,56.736,22.377,31.018,112.139,True,
scalability,1000,500,1000,990,10,21,51,10,1000,990,1005.894,94.136,1100.03,0.444,25.062,0.581,2.559,38.032,0.127,93.764,66.805,26.959,37.429,1095.292,True,
