       Position                     Name            Year Of Birth            National Team                          Club
             DF              Nuno Mendes                     2002                 Portugal           Paris Saint-Germain
             FW                  Rodrygo                     2001                   Brazil                   Real Madrid
             FW               Phil Foden                     2000                  England               Manchester City
             FW          Vinicius Junior                     2000                   Brazil                   Real Madrid
             FW             Jadon Sancho                     2000                  England             Manchester United
             FW            Matheus Cunha                     1999                   Brazil               Atletico Madrid
             DF              Diogo Dalot                     1999                 Portugal             Manchester United
             FW               Joao Felix                     1999                 Portugal               Atletico Madrid
             DF              Reece James                     1999                  England                       Chelsea
             MF              Mason Mount                     1999                  England                       Chelsea
             DF   Trent Alexander-Arnold                     1998                  England                     Liverpool
             DF               Juan Foyth                     1998                Argentina                    Villarreal
             DF               Renan Lodi                     1998                   Brazil               Atletico Madrid
             FW             Eder Militao                     1998                   Brazil                   Real Madrid
             FW            Kylian Mbappe                     1998                   France           Paris Saint-Germain
             DF          Dayot Upamecano                     1998                   France                 Bayern Munich
             DF               Ruben Dias                     1997                 Portugal               Manchester City
             DF                  Gabriel                     1997                   Brazil                       Arsenal
             GK           Dean Henderson                     1997                  England             Manchester United
             FW            Gabriel Jesus                     1997                   Brazil               Manchester City
             FW          Marcus Rashford                     1997                  England             Manchester United
             DF               Pau Torres                     1997                    Spain                    Villarreal
             FW           Kingsley Coman                     16                   France                 Bayern Munich
             DF             Ben Chilwell                     1996                  England                       Chelsea
             MF         Giovani Lo Celso                     1996                Argentina                    Villarreal
             DF          Lucas Hernandez                     1996                   France                 Bayern Munich
             FW               Diogo Jota                     1996                 Portugal                     Liverpool
             DF          Benjamin Pavard                     1996                   France                 Bayern Munich
             MF                    Rodri                     1996                    Spain               Manchester City
             FW             Angel Correa                     1995                Argentina               Atletico Madrid
             FW            Jack Grealish                     1995                  England               Manchester City
             DF         Presnel Kimpembe                     1995                   France           Paris Saint-Germain
             MF          Marcos Llorente                     1995                    Spain               Atletico Madrid
             MF             Thomas Lemar                     1995                   France               Atletico Madrid
             MF            Adrien Rabiot                     1995                   France                      Juventus
             DF                Luke Shaw                     1995                  England             Manchester United
             GK        Kepa Arrizabalaga                     1994                    Spain                       Chelsea
             DF             Joao Cancelo                     1994                 Portugal               Manchester City
             MF          Bruno Fernandes                     1994                 Portugal             Manchester United
             DF          Aymeric Laporte                     1994                    Spain               Manchester City
             DF               Marquinhos                     1994                   Brazil           Paris Saint-Germain
             MF          Rodrigo De Paul                     1994                Argentina               Atletico Madrid
             FW          Raheem Sterling                     1994                  England               Manchester City
             DF              John Stones                     1994                  England               Manchester City
             FW           Bernardo Silva                     1994                 Portugal               Manchester City
             MF         Corentin Tolisso                     1994                   France                 Bayern Munich
             FW             Paulo Dybala                     1993                Argentina                      Juventus
             GK                  Ederson                     1993                   Brazil               Manchester City
             MF                  Fabinho                     1993                   Brazil                     Liverpool
             MF                     Fred                     1993                   Brazil             Manchester United
             DF            Harry Maguire                     1993                  England             Manchester United
             MF               Paul Pogba                     1993                   France             Manchester United
             DF           Raphael Varane                     1993                   France             Manchester United
             GK                  Alisson                     1992                   Brazil                     Liverpool
             DF            Dani Carvajal                     1992                    Spain                   Real Madrid
             MF                 Casemiro                     1992                   Brazil                   Real Madrid
             MF                     Koke                     1992                    Spain               Atletico Madrid
             MF            Jesse Lingard                     1992                  England             Manchester United
             FW            Alvaro Morata                     1992                    Spain                      Juventus
             FW                   Neymar                     1992                   Brazil           Paris Saint-Germain
             DF              Alex Telles                     1992                   Brazil             Manchester United
             FW                   Danilo                     1991                   Brazil                      Juventus
             FW          Roberto Firmino                     1991                   Brazil                     Liverpool
             FW        Antoine Griezmann                     1991                   France               Atletico Madrid
             MF              NGolo Kante                     1991                   France                       Chelsea
             DF           Danilo Pereira                     1991                 Portugal           Paris Saint-Germain
             DF              Alex Sandro                     1991                   Brazil                      Juventus
             MF                   Thiago                     1991                    Spain                     Liverpool
             DF            Marcos Alonso                     1990                    Spain                       Chelsea
             GK             David de Gea                     1990                    Spain             Manchester United
             MF         Jordan Henderson                     1990                  England                     Liverpool
             DF              Kyle Walker                     1990                  England               Manchester City
             DF        Cesar Azpilicueta                     1989                    Spain                       Chelsea
             FW                   Felipe                     1989                   Brazil               Atletico Madrid
             MF           Angel Di Maria                     1988                Argentina           Paris Saint-Germain
             FW            Karim Benzema                     1987                   France                   Real Madrid
             FW             Lionel Messi                     1987                Argentina           Paris Saint-Germain
             DF             Sergio Ramos                     1986                    Spain           Paris Saint-Germain
             DF              Raul Albiol                     1985                    Spain                    Villarreal
             FW        Cristiano Ronaldo                     1985                 Portugal             Manchester United
             DF             Thiago Silva                     1984                   Brazil                       Chelsea
