State,Started on,Completed,Time taken,Grade/10.00,Q. 1 /0.53,Q. 2 /0.53,Q. 3 /0.53,Q. 4 /0.53,Q. 5 /0.53,Q. 6 /0.53,Q. 7 /0.53,Q. 8 /0.53,Q. 9 /0.53,Q. 10 /0.53,Q. 11 /0.53,Q. 12 /0.53,Q. 13 /0.53,Q. 14 /0.53,Q. 15 /0.53,Q. 16 /0.53,Q. 17 /0.53,Q. 18 /0.53,Q. 19 /0.53
Finished,16/10/2024 17:14,16/10/2024 17:37,22 mins 55 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,16/10/2024 18:59,16/10/2024 22:34,3 hours 35 mins,7.11,0.26,0.53,0,0,0,0.53,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0.53
Finished,16/10/2024 19:06,16/10/2024 19:46,39 mins 41 secs,5.26,0,0.53,0.53,0,0,0.53,0.53,0.53,0.26,0.53,0.26,0.53,0,0,0,0.53,0.53,0,0
Finished,16/10/2024 21:27,16/10/2024 21:47,19 mins 35 secs,8.82,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.39,0.53,0.53,0.53,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0
Finished,16/10/2024 23:15,16/10/2024 23:34,18 mins 32 secs,8.95,0.53,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0
Finished,17/10/2024 0:04,17/10/2024 0:34,30 mins 22 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,17/10/2024 0:19,17/10/2024 0:34,14 mins 31 secs,6.84,0.53,0.53,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53,0.53,0.53,0,0,0,0.53,0.53,0,0
Finished,17/10/2024 9:00,17/10/2024 9:23,23 mins 3 secs,9.74,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,17/10/2024 9:05,17/10/2024 9:17,11 mins 29 secs,4.34,0.53,0.53,0,0,0,0,0,0.53,0.26,0.39,0.26,0.26,0,0,0,0.53,0,0.53,0.53
Finished,17/10/2024 11:04,17/10/2024 11:16,12 mins 11 secs,6.32,0.26,0.53,0.53,0.53,0,0,0.53,0.53,0.26,0.53,0.26,0.26,0,0,0.53,0.53,0.53,0,0.53
Finished,17/10/2024 11:50,17/10/2024 12:03,13 mins 19 secs,8.16,0.53,0.53,0.53,0.53,0.53,0.53,0,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0,0.53,0.53,0,0.53
Finished,17/10/2024 12:05,17/10/2024 12:50,45 mins 26 secs,9.47,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0.53
Finished,17/10/2024 12:49,17/10/2024 13:23,33 mins 55 secs,7.37,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.26,0.53,0.53,0.26,0.53,0,0,0.53,0.53,0.53,0,0
Finished,17/10/2024 12:50,17/10/2024 14:00,1 hour 10 mins,6.71,0.26,0.53,0.53,0.53,0,0,0,0.53,0.26,0.39,0,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53
Finished,17/10/2024 13:28,17/10/2024 13:37,9 mins 41 secs,4.08,0.26,0.53,0,0,0,0,0,0.39,0.53,0.53,0.26,0.53,0,0,0,0,0.53,0,0.53
Finished,17/10/2024 19:02,17/10/2024 19:18,16 mins 4 secs,5.92,0.26,0.53,0,0.53,0.53,0,0.53,0.26,0.53,0.39,0.26,0.53,0,0,0.53,0.53,0,0,0.53
Finished,17/10/2024 19:03,17/10/2024 19:18,14 mins 28 secs,4.08,0,0.53,0,0,0.53,0,0.53,0.26,0.26,0.39,0,0.53,0,0,0.53,0.53,0,0,0
Finished,17/10/2024 21:06,17/10/2024 21:13,7 mins 14 secs,2.24,0.26,0,0,0,0,0,0,0.39,0.53,0.26,0,0.26,0,0,0,0.53,0,0,0
Finished,17/10/2024 21:08,17/10/2024 23:09,2 hours 1 min,8.68,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0,0.53,0.53,0.53,0.53,0.53
Finished,17/10/2024 21:46,17/10/2024 21:52,5 mins 46 secs,4.87,0.26,0.53,0.53,0,0,0,0.53,0.39,0.53,0.26,0.53,0.26,0,0,0.53,0.53,0,0,0
Finished,18/10/2024 8:40,18/10/2024 9:43,1 hour 3 mins,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,18/10/2024 9:59,18/10/2024 10:20,21 mins 13 secs,9.74,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,18/10/2024 10:05,18/10/2024 10:17,11 mins 38 secs,8.16,0.53,0.53,0.53,0.53,0,0.53,0.53,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0
Finished,18/10/2024 14:08,18/10/2024 14:29,21 mins 2 secs,5.53,0,0.53,0.53,0,0,0.53,0.53,0.39,0.26,0.39,0.26,0.53,0.53,0.53,0,0.53,0,0,0
