Tên bài hát,Album,Lượt yêu thích,Lượt nghe,Nghệ sĩ,Sáng tác,Thể loại,Nhà cung cấp
Mất Kết Nối,Dữ Liệu Quý (EP),582K,23.6M,Dương Domic,Dương Domic,"Việt Nam, V-Pop",DAO Music Entertainment
Tái Sinh,MULTIVERSE,744K,24.1M,Tùng Dương,Tăng Duy Tân,"Việt Nam, V-Pop",+84 Vietnam New Wave
Mộng Hoa Sim,Mộng Hoa Sim (Single),,,Thiên Tú,Thiên Tú,"Việt Nam, V-Pop",MIXUS
Anh Đau Từ Lúc Em Đi,Anh Đau Từ Lúc Em Đi (Single),501K,18.1M,Trần Mạnh Cường,Trần Mạnh Cường,"Việt Nam, V-Pop",Incom
Cảm Ơn Em,Cảm Ơn Em (Single),279K,10M,Đặng Thiên Chí,Đặng Thiên Chí,"Việt Nam, V-Pop",VIEENT Music
Ánh Mắt Biết Cười,Ánh Mắt Biết Cười (Single),103K,2.8M,"Quang Hùng MasterD, Tăng Duy Tân","Lê Quang Hùng, Tăng Duy Tân","Việt Nam, V-Pop",Euphoria Media Vietnam
E Là Không Thể,E Là Không Thể (Single),398K,16.2M,Anh Quân,Đông Thiên Đức,"Việt Nam, V-Pop",DAO Music Entertainment
Thủy Triều,Thủy Triều (Single),,,Quang Hùng MasterD,Quang Hùng MasterD,"Việt Nam, V-Pop",Euphoria Media Vietnam
Cô Phòng,Cô Phòng (EP),,,"Hồ Quang Hiếu, Huỳnh Văn",Huỳnh Văn,"Việt Nam, V-Pop",TECHBEAT Music
Tự Hào Màu Áo Lính,Tự Hào Màu Áo Lính (Single),,,Thái Học,Long Họ Huỳnh,"Việt Nam, V-Pop",MIXUS
Cạn Tình Như Thế,Cạn Tình Như Thế (Single),742K,51.4M,"DICKSON, Thành Đạt, Lê Chí Trung",Lê Chí Trung,"Việt Nam, V-Pop",MIXUS
Nơi Vực Nơi Trời (Remix),Nơi Vực Nơi Trời (Remix) (Single),552K,21M,Lê Bảo Bình,DC Tâm,"Việt Nam, Dance Việt",Incom
Hứa Đợi Nhưng Chẳng Tới,Hứa Đợi Nhưng Chẳng Tới (Single),616K,34.3M,"Lâm Tuấn, Vương Thiên Tuấn","Vương Thiên Tuấn, Hà Tùng Linh","Việt Nam, V-Pop",Euphoria Media Vietnam
Lao Tâm Khổ Tứ,Lao Tâm Khổ Tứ (Single),604K,33.1M,Thanh Hưng,Nguyễn Thanh Hưng,"Việt Nam, V-Pop",LOOPS Music
Cắt Đôi Nỗi Sầu,Cắt Đôi Nỗi Sầu (Single),1.8M,122.8M,"Tăng Duy Tân, Drum7",Tăng Duy Tân,"Việt Nam, V-Pop",Euphoria Media Vietnam
Vừa Hận Vừa Yêu,Vừa Hận Vừa Yêu (Single),708K,36.4M,"Trung Tự, BFF",Trung Tự,"Việt Nam, V-Pop",VIVI ENM
Ngày Mai Người Ta Lấy…,Ngày Mai Người Ta Lấy Chồng (Single),1.9M,123.8M,Thành Đạt,,"Việt Nam, V-Pop",MIXUS
Nợ Nhau Một Lời,Nợ Nhau Một Lời (Single),267K,20.2M,Phúc Chinh,Phúc Chinh,"Việt Nam, V-Pop",MIXUS
Tự Em Sai,Tự Em Sai (Single),370K,23.2M,"Linh Hương Luz, IC Music","DC Tâm, IC Music, Nhạc Hoa Lời Việt","Việt Nam, V-Pop",Incom
Giờ Thì,Từng Ngày Như Mãi Mãi,111K,5M,buitruonglinh,buitruonglinh,"Việt Nam, V-Pop",LOOPS Music
Ải Hồng Nhan,Ải Hồng Nhan (Single),249K,8.6M,"Cần Vinh, Lee Ken","Cần Vinh, Lee Ken","Việt Nam, V-Pop",MIXUS
Tràn Bộ Nhớ,Dữ Liệu Quý (EP),176K,5.5M,Dương Domic,Dương Domic,"Việt Nam, V-Pop",DAO Music Entertainment
Mở Lối Cho Em (Lofi Version),Mở Lối Cho Em (Lofi Version) (Single),71K,2.8M,"Lương Quý Tuấn, Hữu Công",An Clock,"Việt Nam, V-Pop",Kind Music
Cô Dâu Của Người Ta,Cô Dâu Của Người Ta (Single),146K,6.4M,Khả Hiệp,Lâm Chu Min,"Việt Nam, V-Pop",MIXUS
Cẩm Tú Cầu,Cẩm Tú Cầu (Single),,,"RayO, Huỳnh Văn",Huỳnh Văn,"Việt Nam, V-Pop",VIEENT Music
Hoa Nở Bên Đường,Hoa Nở Bên Đường (Single),,,"Quang Đăng Trần, ACV",Đông Thiên Đức,"Việt Nam, V-Pop",ACV Entertainment
Chăm Em Một Đời,Chăm Em Một Đời (Single),18K,542K,Đức Phúc,Kai Đinh,"Việt Nam, V-Pop",Yin Yang Media
Vạn Sự Tùy Duyên,Vạn Sự Tùy Duyên (Single),329K,20M,Thanh Hưng,Thanh Hưng,"Việt Nam, V-Pop",Yin Yang Media
Trả Lại Thanh Xuân Cho Em,Trả Lại Thanh Xuân Cho Em (Single),201K,7.9M,H2K,,"Việt Nam, V-Pop",Euphoria Media Vietnam
Hôm Nay Anh Say,Hôm Nay Anh Say (Single),239K,15.7M,Khả Hiệp,Khả Hiệp,"Việt Nam, V-Pop",VIEENT Music
Đừng Hỏi Em Ổn Không…,Đừng Hỏi Em Ổn Không (1988s Remix) (Single),258K,11.6M,"Diệu Vân, H2K, 1988s",Jin Tuấn Nam,"Việt Nam, Dance Việt",MIXUS
Nên Chờ Hay Nên Quên,,354K,24.7M,Chu Thúy Quỳnh,Yan Nguyễn,"Việt Nam, V-Pop",MIXUS
Hóa Giải Bằng Nước Mắt,Hóa Giải Bằng Nước Mắt (Single),148K,8.3M,"Cao Thái Sơn, Lê Chí Trung",Lê Chí Trung,"Việt Nam, V-Pop",MIXUS
Anh Thôi Nhân Nhượng…,Anh Thôi Nhân Nhượng (Cover) (Single),659K,36.1M,Kiều Chi,An Clock,"Việt Nam, V-Pop",ZuongZero Entertainment
Anh Đau Từ Lúc Em Đi…,Anh Đau Từ Lúc Em Đi (Remix) (EP),162K,6.5M,Trần Mạnh Cường,Trần Mạnh Cường,"Việt Nam, Dance Việt",Incom
E Là Không Thể (Chốn Tìm…,E Là Không Thể (Chốn Tìm Show),81K,3.5M,Anh Quân,Đông Thiên Đức,"Việt Nam, V-Pop",MAIDAO
Nỗi Nhớ Vô Hạn,Nỗi Nhớ Vô Hạn (Single),111K,6.9M,"Thanh Hưng, ACV",Thanh Hưng,"Việt Nam, V-Pop",MIXUS
Nổi Gió Lên,Nổi Gió Lên (Single),316K,16.1M,Phan Như Thùy,Nhạc Hoa Lời Việt,"Việt Nam, V-Pop",VIEENT Music
Từng Ngày Yêu Em,Từng Ngày Như Mãi Mãi,49K,1.5M,buitruonglinh,buitruonglinh,"Việt Nam, V-Pop",LOOPS Music
Say Sóng,Khu Vườn Tình,115K,6.5M,"Tăng Duy Tân, Drum7, 2Pillz",Tăng Duy Tân,"Việt Nam, V-Pop",Euphoria Media Vietnam
Trả Lại Thanh Xuân Cho Em…,Trả Lại Thanh Xuân Cho Em (Domino Remix) (Single),69K,2.2M,"Mochiii, ACV, Domino",,"Việt Nam, Dance Việt",Euphoria Media Vietnam
Có Một Người Vẫn Đợi…,Có Một Người Vẫn Đợi (Ballad) (Single),,,Ngân Ngân,Khánh Cường,"Việt Nam, V-Pop",VIEENT Music
Là Tại Anh Sai,Là Tại Anh Sai (Single),261K,14.6M,Châu Khải Phong,La Hoàng Quý,"Việt Nam, V-Pop",MIXUS
Phố Hoa Lệ,Phố Hoa Lệ (Single),1.1M,76.4M,Chu Bin,Đông Thiên Đức,"Việt Nam, V-Pop",MIXUS
Sao Cũng Được,Sao Cũng Được (Single),2.1M,140.3M,Thành Đạt,Đông Thiên Đức,"Việt Nam, V-Pop",MIXUS
