Địa chỉ,Diện tích,Mặt tiền,Đường tiếp cận,Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số phòng tắm,Tình trạng pháp lý,Tình trạng nội thất,Giá,Thành phố,Dự án,Giá trên m²,Số tầng tối đa
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",84.0,6.0,12.6,Tây - Bắc,Đông - Nam,4,4,5,Đã có giấy chứng nhận,Đầy đủ nội thất,8.6,Hưng Yên,True,102.4,4
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",60.0,4.4,7.6,Tây - Bắc,Đông - Nam,5,4,4,Đã có giấy chứng nhận,Đầy đủ nội thất,7.5,Hưng Yên,True,125.0,4
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",90.0,6.0,13.0,Đông - Bắc,Đông - Bắc,5,4,4,Hợp đồng mua bán,Cơ bản nội thất,8.9,Hưng Yên,True,98.9,4
"Đường Nguyễn Văn Khối, Phường 11, Gò Vấp, Hồ Chí Minh",54.0,5.4,3.5,Tây - Nam,Tây - Nam,2,2,3,Đã có giấy chứng nhận,Đầy đủ nội thất,5.4,Hồ Chí Minh,False,99.1,3
"Đường Quang Trung, Phường 8, Gò Vấp, Hồ Chí Minh",92.0,5.9,14.9,Đông - Nam,Đông - Nam,2,4,4,Đã có giấy chứng nhận,Đầy đủ nội thất,6.9,Hồ Chí Minh,False,75.0,4
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",91.0,7.0,13.0,Tây - Bắc,Đông - Nam,4,3,3,Đã có giấy chứng nhận,Đầy đủ nội thất,9.8,Hưng Yên,True,107.7,4
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",64.0,4.0,7.6,Đông - Nam,Đông - Nam,5,4,3,Đã có giấy chứng nhận,Đầy đủ nội thất,7.2,Hưng Yên,True,112.5,4
"Dự án Him Lam Thường Tín, Huyện Thường Tín, Hà Nội",74.0,5.0,18.0,Nam,Nam,5,4,5,Đã có giấy chứng nhận,Đầy đủ nội thất,9.9,Hà Nội,True,133.8,4
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",48.0,4.0,5.2,Đông - Nam,Đông - Nam,5,6,3,Đã có giấy chứng nhận,Cơ bản nội thất,5.7,Hưng Yên,True,118.8,3
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",91.0,7.0,13.7,Đông - Nam,Đông - Nam,5,4,6,Đã có giấy chứng nhận,Đầy đủ nội thất,9.5,Hưng Yên,True,104.4,4
